time,strategy_nav_eqw,benchmark_nav_eqw
2023-03-10,1.0297834749176271,0.7998962670640923
2023-03-13,1.0297834749176271,0.8069074525984785
2023-03-14,1.0297834749176271,0.8369380811162085
2023-03-15,1.0297834749176271,0.8410937969824329
2023-03-16,1.0297834749176271,0.8681388598436881
2023-03-17,1.0297834749176271,0.8616666855026004
2023-03-20,1.0297834749176271,0.8651965003988964
2023-03-21,1.0297834749176271,0.873691714895208
2023-03-22,1.0297834749176271,0.8673379161220192
2023-03-23,1.0297834749176271,0.8825157659173546
2023-03-24,1.0297834749176271,0.8825933137987911
2023-03-27,1.0297834749176271,0.8715780818492584
2023-03-28,1.0297834749176271,0.8665488871138192
2023-03-29,1.0297834749176271,0.8800235526115081
2023-03-30,1.0297834749176271,0.8908857949845248
2023-03-31,1.0297834749176271,0.9069918697505625
2023-04-03,1.0297834749176271,0.9051083516137791
2023-04-04,1.0297834749176271,0.8996709192350226
2023-04-05,1.0297834749176271,0.8871457521832337
2023-04-06,1.0297834749176271,0.8949421866070797
2023-04-10,1.0297834749176271,0.8955429280771111
2023-04-11,1.0297834749176271,0.885336253784725
2023-04-12,1.0297834749176271,0.8782422391013052
2023-04-13,1.0297834749176271,0.8946399620106725
2023-04-14,1.0297834749176271,0.8919812839869343
2023-04-17,1.0297834749176271,0.896919336823549
2023-04-18,1.0297834749176271,0.9008734145748889
2023-04-19,1.0297834749176271,0.9011731868352804
2023-04-20,1.0297834749176271,0.887230746570723
2023-04-21,1.0297834749176271,0.887014938111154
2023-04-24,1.0297834749176271,0.8834722777813714
2023-04-25,1.0297834749176271,0.864314132242306
2023-04-26,1.0297834749176271,0.8806929539587083
2023-04-27,1.0297834749176271,0.9146116845558889
2023-04-28,1.0320052747063901,0.9249750222438988
2023-05-01,1.0354067590592024,0.9350889451550957
2023-05-02,1.027798722877934,0.9177724095113331
2023-05-03,1.0280542055454813,0.9133357399704706
2023-05-04,1.027151104022988,0.9087459212493689
2023-05-05,1.0330806784930435,0.931886935250466
2023-05-08,1.0327657812516478,0.9333919892099056
2023-05-09,1.0296316624811523,0.9235900268531585
2023-05-10,1.0319369479464646,0.9333749561659388
2023-05-11,1.0323528499634023,0.9341259216382392
2023-05-12,1.033386663548362,0.9302800418170285
2023-05-15,1.0359563438672987,0.9399287829864504
2023-05-16,1.0364435433728545,0.9441347977756196
2023-05-17,1.0412056214667917,0.9622802732784228
2023-05-18,1.0472748201853908,0.9867153247808242
2023-05-19,1.0485670871665902,0.9861412470029933
2023-05-22,1.0474144444339342,0.9904733922314548
2023-05-23,1.0498296468608657,0.9831744307497415
2023-05-24,1.047759048962254,0.9795181317232506
2023-05-25,1.0623958292297708,1.0502090270859843
2023-05-26,1.0873291551451896,1.103543229165206
2023-05-30,1.0845396409030141,1.1081068513306436
2023-05-31,1.0859121175589088,1.0979740271248652
2023-06-01,1.0805618351838737,1.1121457853598222
2023-06-02,1.0871122919506435,1.1229976923495832
2023-06-05,1.0842306851190033,1.1186942210420998
2023-06-06,1.0805766888273358,1.1104151470369164
2023-06-07,1.0813579904734403,1.0917424364057888
2023-06-08,1.0847951235705615,1.108049935023221
2023-06-09,1.084919894175643,1.113897619453716
2023-06-12,1.0999933715609445,1.1484535047361821
2023-06-13,1.0987337825953616,1.159319039385259
2023-06-14,1.10914915739096,1.186633966355858
2023-06-15,1.1083322070005466,1.1986839413321149
2023-06-16,1.1037810506437704,1.1885380821197848
2023-06-20,1.1037572848142312,1.1973115745690044
2023-06-21,1.0977059104677866,1.1750289956095732
2023-06-22,1.0961522193616549,1.1832333955557806
2023-06-23,1.0901275815734421,1.1674959845849973
2023-06-26,1.0899731036814369,1.141509904357016
2023-06-27,1.0979257443910253,1.172789126070415
